instance,id
/Users/suzanneong/Desktop/Topics/GPLearn/../Datasets/658_fri_c3_250_25.csv,1
/Users/suzanneong/Desktop/Topics/GPLearn/../Datasets/body_fat.csv,2
/Users/suzanneong/Desktop/Topics/GPLearn/../Datasets/Hill_Valley_with_noise.csv,3
/Users/suzanneong/Desktop/Topics/GPLearn/../Datasets/allbp.csv,4
/Users/suzanneong/Desktop/Topics/GPLearn/../Datasets/analcatdata_cyyoung9302.csv,5
/Users/suzanneong/Desktop/Topics/GPLearn/../Datasets/229_pwLinear.csv,6
/Users/suzanneong/Desktop/Topics/GPLearn/../Datasets/prnn_crabs.csv,7
/Users/suzanneong/Desktop/Topics/GPLearn/../Datasets/tic_tac_toe.csv,8
/Users/suzanneong/Desktop/Topics/GPLearn/../Datasets/503_wind.csv,9
/Users/suzanneong/Desktop/Topics/GPLearn/../Datasets/588_fri_c4_1000_100.csv,10
